,class,Message
0,ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,ham,ok lar joking wif oni
2,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
3,ham,dun say early hor c already say
4,ham,nah think goes usf lives around though
5,spam,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv
6,ham,even brother like speak treat like aids patent
7,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
8,spam,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
9,spam,mobile months r entitled update latest colour mobiles camera free call mobile update co free
10,ham,going home soon want talk stuff anymore tonight k cried enough today
11,spam,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
12,spam,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
13,ham,searching right words thank breather promise take help granted fulfil promise wonderful blessing times
14,ham,date sunday
15,spam,xxxmobilemovieclub use credit click wap link next txt message click ap xxxmobilemovieclubcomnqjkgighjjgcbl
16,ham,oh kim watching
17,ham,eh remember spell name yes v naughty make v wet
18,ham,fine thats way feel thats way gota b
19,spam,england v macedonia miss goalsteam news txt national team eg england trywales scotland txt poboxoxwwq
20,ham,seriously spell name
21,ham,im going try months ha ha joking
22,ham,pay first lar da stock comin
23,ham,aft finish lunch go str lor ard smth lor finish lunch already
24,ham,ffffffffff alright way meet sooner
25,ham,forced eat slice really hungry though sucks mark getting worried knows sick turn pizza lol
26,ham,lol always convincing
27,ham,catch bus frying egg make tea eating moms left dinner feel love
28,ham,back amp packing car ill let know room
29,ham,ahhh work vaguely remember feel like lol
30,ham,wait still clear sure sarcastic x want live us
31,ham,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers
32,ham,k tell anything
33,ham,fear fainting housework quick cuppa
34,spam,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
35,ham,yup ok go home look timings message xuhui going learn nd may lesson
36,ham,oops ill let know roommates done
37,ham,see letter b car
38,ham,anything lor decide
39,ham,hello saturday go texting see would decided anything tomo trying invite anything
40,ham,pls go ahead watts wanted sure great weekend abiola
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,spam,rodger burns message tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
43,ham,seeing
44,ham,great hope like man well endowed ltgt inches
45,ham,callsmessagesmissed calls
46,ham,get hep b immunisation nigeria
47,ham,fair enough anything going
48,ham,yeah hopefully tyler cannot could maybe ask around bit
49,ham,know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers
50,ham,thinked first time saw class
51,ham,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
52,ham,k fyi x ride early tomorrow morning hes crashing place tonight
53,ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
54,spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
55,ham,know mallika sherawat yesterday find lturlgt
56,spam,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm miss
57,ham,sorry ill call later meeting
58,ham,tell reached
59,ham,yesgauti sehwag odi series
60,ham,going pick burger way home cannot even move pain killing
61,ham,ha ha ha good joke girls situation seekers
62,ham,part checking iq
63,ham,sorry roommates took forever ok come
64,ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
